Taken at,Barcode no.,Body no.,DMp (%),NFI-2,DMa (cm2),DMs,DMs(AUSMEAT),DMs(MSA),DMc,DFc,Cross-section image thumbnail
2026-05-01 13:26:36-05:00,O-40043026,O-40043026,18.37582390249969,4.287250175125163,78.0856,5.422705633627658,4,580.0,1C,3,https://storage.googleapis.com/carcassdb/beef/98955a31-a29a-4128-89f7-bd02eeec5cec/cross_section_800x600.jpg
2026-05-01 13:25:54-05:00,O-685043026,O-685043026,19.288778239440173,3.949604278632855,91.1428,5.692118458458795,4,630.0,2,3,https://storage.googleapis.com/carcassdb/beef/5e6da027-6267-45fe-a720-e8095dd134a3/cross_section_800x600.jpg
2026-05-01 13:25:00-05:00,O-103043026,O-103043026,14.225481880136886,4.871229902747965,70.0068,4.197939702828395,2,450.0,3,4,https://storage.googleapis.com/carcassdb/beef/d0a868a1-e2a3-4bc7-b10a-5e85bbb3d40b/cross_section_800x600.jpg
2026-05-01 13:23:30-05:00,O-18043026,O-18043026,19.06220903446965,4.948039421504839,95.1999,5.625257886071993,4,610.0,1C,3,https://storage.googleapis.com/carcassdb/beef/90879483-5f1f-4af4-9c80-a618f34b1e6f/cross_section_800x600.jpg
2026-05-01 13:23:04-05:00,O-807043026,O-807043026,8.343990300775605,2.2193070346719175,110.4821,2.462311537758881,1,370.0,2,3,https://storage.googleapis.com/carcassdb/beef/7ffa39d2-1f71-4384-98c9-a7b3f3dc9637/cross_section_800x600.jpg
2026-05-01 13:22:09-05:00,O-261043026,O-261043026,21.556896345709827,5.27352876650408,84.7179,6.36144011161897,4,660.0,2,3,https://storage.googleapis.com/carcassdb/beef/ba1e5183-7879-4213-ae6a-e9994a70658d/cross_section_800x600.jpg
2026-05-01 13:21:14-05:00,R-812043026,R-812043026,19.3481630119937,6.993113452106565,90.9626,5.709642904839341,3,510.0,3,3,https://storage.googleapis.com/carcassdb/beef/290d953d-2afc-475c-ac99-cf5b932318d9/cross_section_800x600.jpg
2026-05-01 13:20:31-05:00,O-9043026,O-9043026,19.363379081586075,6.667000896815387,60.7033,5.71413316697605,3,530.0,4,3,https://storage.googleapis.com/carcassdb/beef/977a3ae4-00cb-4ed3-8b9e-18aae17e1b92/cross_section_800x600.jpg
2026-05-01 13:20:00-05:00,Y-531043026,Y-531043026,15.366711415678608,4.164440440642824,95.7657,4.534716538766757,2,480.0,3,4,https://storage.googleapis.com/carcassdb/beef/02f9f572-1576-4e88-8115-48463d7326e5/cross_section_800x600.jpg
2026-05-01 13:19:39-05:00,O-64043026,O-64043026,20.568755727241612,4.735880494503096,83.2274,6.069839815109,4,660.0,2,3,https://storage.googleapis.com/carcassdb/beef/d63a39e8-3bff-403a-8948-e6c44c5a9aaf/cross_section_800x600.jpg
2026-05-01 13:19:13-05:00,O-11043026,O-11043026,11.700528138644652,2.94318367400806,83.4345,3.4528258537140366,2,460.0,1B,3,https://storage.googleapis.com/carcassdb/beef/4189ad43-268d-4d6a-8629-658eae1ba627/cross_section_800x600.jpg
2026-05-01 13:18:40-05:00,O-261043026,O-261043026,9.957812371280038,3.404268829096031,70.8695,2.9385504307647388,2,400.0,3,4,https://storage.googleapis.com/carcassdb/beef/c6716b8b-95cd-4443-af21-244073841242/cross_section_800x600.jpg
2026-05-01 13:17:52-05:00,O-6043026,O-6043026,10.091045834565616,3.1243179160628913,96.1515,2.977867625780313,2,400.0,2,3,https://storage.googleapis.com/carcassdb/beef/7a61e24e-b114-4ba7-abf3-b3c4f9c41c1f/cross_section_800x600.jpg
2026-05-01 13:17:22-05:00,0-NT2043026,0-NT2043026,16.387958254575768,4.195123098093505,84.9483,4.836086480925309,3,530.0,2,3,https://storage.googleapis.com/carcassdb/beef/93f002aa-6ed9-43e1-a1a8-4ea26a1c406c/cross_section_800x600.jpg
2026-05-01 13:17:03-05:00,0-645043026,0-645043026,21.515891606995503,4.83593048353303,92.0538,6.349339613224372,4,680.0,2,3,https://storage.googleapis.com/carcassdb/beef/1d22b56a-6216-4f14-89f7-0398226438a5/cross_section_800x600.jpg
2026-05-01 13:16:38-05:00,0-89043026,0-89043026,16.33818010471705,4.100996587110601,85.5324,4.821396948902001,3,530.0,3,4,https://storage.googleapis.com/carcassdb/beef/2ebfcb8e-f942-4707-a760-4ea3c0ad5ed0/cross_section_800x600.jpg
2026-05-01 13:16:15-05:00,R-344043026,R-344043026,18.083284156510583,4.15938716518689,99.5156,5.336377154586273,3,570.0,2,3,https://storage.googleapis.com/carcassdb/beef/7b9fb39b-a8ba-4523-a0e3-600ee31374ea/cross_section_800x600.jpg
2026-05-01 13:15:46-05:00,0-5043026,0-5043026,19.987213641946376,5.476278124369091,69.06,5.898226745738374,4,590.0,4,3,https://storage.googleapis.com/carcassdb/beef/3b59a90e-6625-4e15-bb09-26323d39b180/cross_section_800x600.jpg
2026-05-01 13:15:19-05:00,0-NT1043026,0-NT1043026,17.401235829371654,4.8800641533363205,76.2344,5.135104693247574,3,540.0,2,3,https://storage.googleapis.com/carcassdb/beef/c6b33bfc-08a7-4d98-b65f-2873b4e37b4c/cross_section_800x600.jpg
2026-05-01 13:15:01-05:00,0-68043026,0-68043026,10.984294597465274,3.130335057583823,98.8007,3.2414653357120025,2,430.0,2,3,https://storage.googleapis.com/carcassdb/beef/0e52c2c4-5ff0-4432-abb5-f666faed3c33/cross_section_800x600.jpg
2026-05-01 13:14:04-05:00,L-6043026,L-6043026,39.418586539414626,8.442039691282783,72.2716,11.632424887781255,9,1100.0,3,4,https://storage.googleapis.com/carcassdb/beef/35da15f9-e4b0-444b-91b1-f007e7eb769b/cross_section_800x600.jpg
2026-05-01 13:13:15-05:00,FBNT-1043026,FBNT-1043026,46.59678011179349,8.71112160031734,114.2347,13.750709810990259,9+,1100.0,2,4,https://storage.googleapis.com/carcassdb/beef/0d435b61-d259-48b0-8a57-3abec88ecbcd/cross_section_800x600.jpg
2026-05-01 13:12:35-05:00,L-18LW043026,L-18LW043026,54.33785827179434,8.580683554253511,125.0763,16.03510197600651,9+,1100.0,1B,4,https://storage.googleapis.com/carcassdb/beef/de180584-1b64-48f2-8ef5-58887154b9ce/cross_section_800x600.jpg
2026-05-01 13:11:55-05:00,23U16043026,23U16043026,26.488561848976893,6.384277720213011,103.7248,7.816774601633081,5,780.0,3,4,https://storage.googleapis.com/carcassdb/beef/70d1c447-964c-4d6f-87e8-1ff7a7536947/cross_section_800x600.jpg
2026-05-01 13:11:14-05:00,L2-LD043026,L2-LD043026,43.177102556684986,8.468021045471197,82.0622,12.741562964477739,9+,1100.0,3,4,https://storage.googleapis.com/carcassdb/beef/b007b9a3-6a2b-4621-95e3-02fb28210cee/cross_section_800x600.jpg
2026-04-24 13:18:45-05:00,J-18042326,J-18042326,18.118039581120442,5.660604840744635,78.5219,5.346633480388642,3,570.0,3,2,https://storage.googleapis.com/carcassdb/beef/f3de5fbc-5415-43e1-a739-e031864d9ddf/cross_section_800x600.jpg
2026-04-24 13:18:24-05:00,J-17042326,J-17042326,18.51638401759775,5.071095857758552,73.8211,5.464184923593096,4,590.0,3,3,https://storage.googleapis.com/carcassdb/beef/a7413e9a-cec5-42be-ae8c-775a76b12a43/cross_section_800x600.jpg
2026-04-24 13:18:04-05:00,J-16042326,J-16042326,19.00680003385909,4.485327585938185,108.4313,5.608906689991817,4,620.0,1C,3,https://storage.googleapis.com/carcassdb/beef/2bbe2798-733e-4bce-8cd5-cea72c6c430f/cross_section_800x600.jpg
2026-04-24 13:17:46-05:00,J-15042326,J-15042326,10.12980369992643,2.873405085105496,96.835,2.9893050718482894,2,420.0,1C,3,https://storage.googleapis.com/carcassdb/beef/662dd31f-2720-4650-924f-b44c41f1f317/cross_section_800x600.jpg
2026-04-24 13:17:24-05:00,J-14042326,J-14042326,8.536775072178484,2.1290068543689693,104.2081,2.519202323799871,2,390.0,1C,3,https://storage.googleapis.com/carcassdb/beef/4aafdfa6-93ea-41ea-9551-aeb025cd79cf/cross_section_800x600.jpg
2026-04-24 13:17:07-05:00,J-13042326,J-13042326,16.12360382133766,4.209494852649528,84.3889,4.758075487676744,3,540.0,2,3,https://storage.googleapis.com/carcassdb/beef/22421ec7-9c54-4ac5-8876-5e3c6deb57c8/cross_section_800x600.jpg
2026-04-24 13:16:48-05:00,J-12042326,J-12042326,16.573801902401026,3.8557019604509186,72.0923,4.890928941398543,3,540.0,3,3,https://storage.googleapis.com/carcassdb/beef/483d9be5-49a9-4f77-8037-1d0a49fbd3da/cross_section_800x600.jpg
2026-04-24 13:16:26-05:00,J-11042326,J-11042326,11.955727961144378,3.7700631895030337,82.527,3.528135321333706,2,430.0,3,3,https://storage.googleapis.com/carcassdb/beef/780cc67c-80d4-4227-ab27-09dc545f8e63/cross_section_800x600.jpg
2026-04-24 13:16:07-05:00,J-10042326,J-10042326,15.75771100559393,4.178386661801096,95.7652,4.650100517750769,3,540.0,1C,3,https://storage.googleapis.com/carcassdb/beef/34d8d8ee-f3b5-4f73-90ae-736fe642d9c6/cross_section_800x600.jpg
2026-04-24 13:15:49-05:00,J-9042326,J-9042326,14.561138573748106,3.822945750748259,98.9455,4.296991993113066,3,530.0,2,3,https://storage.googleapis.com/carcassdb/beef/fc27d849-e651-44cd-9cbd-b6dee201d980/cross_section_800x600.jpg
2026-04-24 13:15:28-05:00,J-8042326,J-8042326,13.256661223028217,4.262816379036543,75.4371,3.912040726915627,2,440.0,3,3,https://storage.googleapis.com/carcassdb/beef/b8c6cc2f-0b84-40d1-aed0-c573ad98f3a4/cross_section_800x600.jpg
2026-04-24 13:15:09-05:00,J-7H284042326,J-7H284042326,19.52572394642236,4.297292393276808,88.3921,5.7620411365892386,4,640.0,2,3,https://storage.googleapis.com/carcassdb/beef/dbc8b707-dc90-472b-9b52-6af25fa7ab0f/cross_section_800x600.jpg
2026-04-24 13:14:40-05:00,J-6042326,J-6042326,15.963988158501873,4.592217123013109,79.0908,4.710972905573903,3,510.0,3,4,https://storage.googleapis.com/carcassdb/beef/412dda4d-a377-4b6f-8462-945c5c2b88ff/cross_section_800x600.jpg
2026-04-24 13:14:11-05:00,J-5X28042326,J-5X28042326,15.481664797386257,4.3520081314137995,83.8289,4.568639281708684,2,480.0,3,3,https://storage.googleapis.com/carcassdb/beef/b93a7ef2-49d6-4f36-b4a1-4adc2c1efc5f/cross_section_800x600.jpg
2026-04-24 13:13:53-05:00,NT-3042326,NT-3042326,13.04533489909824,3.4921976805102637,91.7567,3.8496783287238903,2,460.0,2,3,https://storage.googleapis.com/carcassdb/beef/bd177190-b2d7-427d-8935-dab06a4fed84/cross_section_800x600.jpg
2026-04-24 13:12:15-05:00,J-4042326,J-4042326,10.170088914243356,3.5063234600466364,84.417,3.0011932385932143,2,400.0,3,4,https://storage.googleapis.com/carcassdb/beef/865adb86-4a31-45b7-b760-222248d300e4/cross_section_800x600.jpg
